序号,代码,名称,行业,最新价,涨跌幅pct,盈利阶段,近两年财务摘要,最新年报年份,营业收入最新,营收同比pct,归母净利最新,归母净利上年,净利同比pct,上年报年份,上年营业收入,主营产品,合作方,业务简介,总股本亿股,总市值亿元,流通市值亿元,股东户数,户数变动,户数变动pct,股东日期,前十大持股pct,持股集中度,换手率pct,量比,近5日均量,前5日均量,五日量能放大,近10日均量,前10日均量,十日量能放大,年内最低,年内最高,年内均价,现价比年内均价,现价比年内低点,年内价格分位pct,筛选理由
26,603630,拉芳家化,化妆品,15.01,-1.18,转亏阶段,2025年营业收入8.18亿元，同比增长-7.92%；归母净利润-3115.42万元，上年为4136.66万元（同比-175.31%）,2025,8.18亿元,-7.92,-3115.42万元,4136.66万元,-175.31,2024,8.89亿元,洗护类(91.9%)；其他(5.5%)；香皂(2.5%)；其他(补充)(0.1%),公司以科技,"拉芳家化股份有限公司,创办于2001年,是一家集研发、生产、销售、自主品牌的个人护理用品企业。拉芳家化(股票代码:603630)于2017年3月13日登陆上海证券交易所,是国内民族品牌洗涤类洗发露企业之一。拉芳用了二十二年的时间,崛起于中国化妆品日化行业,拉芳品牌""爱生活、爱拉芳""响彻全国。是国内成为家喻户晓的个人护理用品知名品牌。旗下拥有拉芳、美多丝、雨洁",2.25,33.8,33.8,20644,1188,6.11,2026-03-31,64.57,较集中,10.39,1.93,12727844,13594106,0.94,13160975,7046557,1.87,12.04,31.19,19.6,0.77,1.25,15.51,10日量能放大1.87倍；换手10.39%；低于/贴近年内均价；接近年内低点；年内分位16%
27,001220,世盟股份,物流,29.35,0.76,盈利阶段,2025年营业收入8.58亿元，同比增长-16.51%；归母净利润1.39亿元，上年为1.70亿元（同比-18.11%）,2025,8.58亿元,-16.51,1.39亿元,1.70亿元,-18.11,2024,10.28亿元,供应链综合物流服务(75.7%)；干线运输服务(24.3%),世盟供应链管理股份有限公司,"世盟供应链管理股份有限公司成立于2010年,是一家有着多年合同物流经验的综合服务承包商,在全国设有多家分/子公司,以实体物流与管理标准输出相结合的经营模式为大中型企业客户提供多维度、高效率的现代化供应链物流服务。",0.92,27.09,6.64,22018,-22110,-50.1,2026-03-31,75.79,较集中,4.12,1.24,782788,732332,1.07,757560,586475,1.29,27.01,70,36.95,0.79,1.09,5.44,换手4.12%；低于/贴近年内均价；接近年内低点；年内分位5%
28,001225,和泰机电,专用设备,43.66,10,盈利阶段,2025年营业收入2.39亿元，同比增长-4.77%；归母净利润3410.18万元，上年为5753.66万元（同比-40.73%）,2025,2.39亿元,-4.77,3410.18万元,5753.66万元,-40.73,2024,2.51亿元,板链斗式提升机(42.1%)；易损配件(26.0%)；胶带斗式提升机(16.1%)；其他配件(10.4%)；其他输送机(3.7%),红狮集团、金隅集团、山水集团、针对大型水泥生产集团,"杭州和泰机电股份有限公司成立于1995年6月,公司为国家高新技术企业、浙江省专精特新中小企业,建有浙江省级企业技术中心,是国内先进的物料输送设备制造商之一。成立以来,公司深耕垂直物料输送设备制造行业,经过20多年的稳步发展,在技术研发、产品设计、生产制造以及综合服务等方面积累了丰富的经验,树立了良好的行业口碑。公司主要产品包括板链斗式提升机、胶带斗式提升机等",0.66,28.63,9.19,8066,3288,68.82,2026-03-31,74.12,非常集中,8.7,1.37,1401480,1334840,1.05,1368160,983893,1.39,31.95,89.05,51.82,0.84,1.37,20.51,换手8.70%；低于/贴近年内均价；年内分位21%
29,002732,燕塘乳业,饮料乳品,13.26,1.45,盈利阶段,2025年营业收入15.86亿元，同比增长-8.47%；归母净利润5762.51万元，上年为1.03亿元（同比-43.94%）,2025,15.86亿元,-8.47,5762.51万元,1.03亿元,-43.94,2024,17.32亿元,乳酸菌乳饮料类(43.1%)；液体乳类(36.3%)；花式奶(19.2%)；其他(1.3%),稳健迈向集团、大力推进实施科技、致力成为中国优秀乳制品上市企业集团,"广东燕塘乳业股份有限公司(下称“燕塘乳业”)始创于1956年,为农业农村部直属广东农垦上市企业,中国奶业协会副会长单位、中国乳制品工业协会副理事长单位、IDF(国际乳品联合会)中国国家委员会成员、中国奶业20强(D20)企业联盟成员,也是广东第一家一体化全产业链乳制品上市公司、华南首家D20企业。一直以来,燕塘乳业秉承“市场导向、科技领先、质量第一、顾客至上",1.57,20.86,20.76,15402,-762,-4.71,2026-03-31,61.77,较集中,3.02,2.12,2338160,2313960,1.01,2326060,1424283,1.63,12.01,20.03,16.45,0.81,1.1,15.59,10日量能放大1.63倍；换手3.02%；低于/贴近年内均价；接近年内低点；年内分位16%
30,603216,梦天家居,家居用品,18.97,-5.34,盈利阶段,2025年营业收入10.85亿元，同比增长-2.88%；归母净利润6481.01万元，上年为6126.11万元（同比5.79%）,2025,10.85亿元,-2.88,6481.01万元,6126.11万元,5.79,2024,11.17亿元,门类(40.0%)；柜类(34.5%)；墙板(13.0%)；其他(补充)(10.7%)；其他家具(1.8%),,"梦天家居集团股份有限公司“梦天”品牌现已成为越来越多高端家庭的选择,在全国发展了1100多家经销商专卖店。 为确保高端品质,梦天家居成立了专业化的设计、研发团队,并自建了庆元、嘉善两大自动化定制家居生产基地,是全屋家具大规模个性化定制试点示范项目单位,高新技术企业。 梦天联合国家林科院建立了“木质门研发中心”和“林业工程博士后工作站”。 在中国,梦天家居的营",2.23,42.24,42.24,10534,-1944,-15.58,2026-03-31,76.26,非常集中,1.98,1.31,3528220,4758178,0.74,4143199,2323730,1.78,12.15,58.84,26.44,0.72,1.56,14.61,10日量能放大1.78倍；低于/贴近年内均价；年内分位15%
31,603665,康隆达,服装家纺,20.16,-4.41,扭亏阶段,2025年营业收入14.06亿元，同比增长-7.5%；归母净利润7953.99万元，上年为-4.86亿元（同比116.38%）,2025,14.06亿元,-7.5,7953.99万元,-4.86亿元,116.38,2024,15.20亿元,功能性手套(57.9%)；一次性丁腈胶手套(26.6%)；锂盐加工(7.2%)；非功能性手套(4.9%)；锂盐(1.9%),,"浙江康隆达特种防护科技股份有限公司是一家专业从事防酸碱、防其他化学品腐蚀、抗切割、耐高温、高耐磨、耐电弧、绝缘、触屏抗静电、阻燃等各类特种功能防护手套和当今世界三大高性能纤维之一的超高强高模聚乙烯纤维的研发、生产、销售的企业,是一家为重要细分行业或大型企事业单位提供人体重要部位防护解决方案及其为大型企事业单位提供从采购→储存→使用发放→使用效果统计分析→回收",1.6,32.29,32.29,7981,306,3.99,2026-03-31,56.95,非常集中,1.45,0.66,3685880,3972427,0.93,3829153,2188155,1.75,19.31,40.78,28.91,0.7,1.04,3.96,10日量能放大1.75倍；低于/贴近年内均价；接近年内低点；年内分位4%
32,603192,汇得科技,化学制品,19.19,-5.61,盈利阶段,2025年营业收入24.72亿元，同比增长-7.43%；归母净利润8128.92万元，上年为1.25亿元（同比-34.74%）,2025,24.72亿元,-7.43,8128.92万元,1.25亿元,-34.74,2024,26.71亿元,革用聚氨酯(65.6%)；聚酯多元醇(17.4%)；聚氨酯弹性体及原液(9.6%)；其他(补充)(3.4%)；新能源制件(2.2%),年创立的上海汇得化工有限公司、物流和服务于一体的集团化科技,"上海汇得科技股份有限公司成立于2007年6月,前身为1997年创立的上海汇得化工有限公司。2018年,公司在上海证券交易所成功上市(股票代码:603192),开启了新的发展篇章。作为集设计、研发、生产、销售、物流和服务于一体的集团化科技型企业,汇得科技专注于新材料领域的创新与发展。主要产品包括革用聚氨酯树脂、热塑性聚氨酯弹性体(TPU)、聚氨酯组合原液、胶黏",1.67,32.08,26.75,12981,-5772,-30.78,2026-03-31,66.8,非常集中,2.51,0.96,3810024,5657314,0.67,4733669,2185723,2.17,16.37,38.37,23.56,0.81,1.17,12.82,10日量能放大2.17倍；低于/贴近年内均价；接近年内低点；年内分位13%
33,001222,源飞宠物,文娱用品,14.03,0,盈利阶段,2025年营业收入17.34亿元，同比增长32.35%；归母净利润1.16亿元，上年为1.64亿元（同比-29.47%）,2025,17.34亿元,32.35,1.16亿元,1.64亿元,-29.47,2024,13.10亿元,宠物零食(53.1%)；宠物牵引用具(24.4%)；宠物主粮(9.5%)；其他(8.6%)；宠物玩具(4.4%),践行宠物用品时尚、智能新主张、成为世界知名企业”的宏大愿景激昂前行,"温州源飞宠物玩具制品股份有限公司成立于2004年,位于浙江省平阳县水头镇标准园区宠乐路1号,系浙江省进出口宠物食品用品行业协会会长单位、平阳县宠物食用品行业协会常务会长单位。公司是一家专业从事宠物用品和宠物零食研发、生产、销售的高新技术企业,主要产品包括宠物牵引用具、宠物玩具等宠物用品,宠物零食、宠物干粮、宠物湿粮等宠物食品。企业以稳定的产品质量和独特的创新",1.91,26.78,15.85,12847,722,5.95,2026-03-31,75.26,非常集中,6.45,1.84,4149392,6071352,0.68,5110372,2976546,1.72,12.71,29.89,20.74,0.68,1.1,7.68,10日量能放大1.72倍；换手6.45%；低于/贴近年内均价；接近年内低点；年内分位8%
34,600847,万里股份,电池,10.98,-3.68,亏损阶段,2025年营业收入5.06亿元，同比增长-12.39%；归母净利润-5291.30万元，上年为-3940.70万元（同比-34.27%）,2025,5.06亿元,-12.39,-5291.30万元,-3940.70万元,-34.27,2024,5.78亿元,铅酸蓄电池(98.0%)；其他(2.0%),重庆万里新能源股份有限公司、股份有限公司、重庆万里蓄电池股份有限公司、重庆万里电源科技有限公司为重庆万里新能源股份,"重庆万里新能源股份有限公司,原名重庆万里控股(集团)股份有限公司、重庆万里蓄电池股份有限公司,前身为重庆蓄电池总厂;现公司位于重庆市江津区双福街道创业路26号并于1994年3月20日在上海证券交易所正式上市交易,股票代码为600847。公司始建于1943年,当时以生产甲、乙类干电池为主。解放后,根据国家建设需要,公司于1956年开始着手研制起动用铅酸蓄电池,",1.53,16.83,16.83,9563,795,9.07,2026-03-31,46.93,非常集中,2.56,1.02,4016145,3493263,1.15,3754704,2496278,1.5,9.66,18.17,12.82,0.86,1.14,15.51,10日量能放大1.50倍；低于/贴近年内均价；接近年内低点；年内分位16%
35,603258,电魂网络,游戏Ⅱ,12.5,-0.95,转亏阶段,2025年营业收入3.85亿元，同比增长-30.08%；归母净利润-2.14亿元，上年为3057.89万元（同比-800.23%）,2025,3.85亿元,-30.08,-2.14亿元,3057.89万元,-800.23,2024,5.50亿元,客户端游戏(63.7%)；移动端游戏(31.5%)；其他(补充)(4.7%)；AI业务(0.1%),最具科技,"杭州电魂网络科技股份有限公司成立于2008年,是一家致力于研发、运营精品化网络游戏的互联网公司在产品的研发上有丰富的经验,对游戏制作有深刻认识和独特见解。电魂通过高效的游戏开发体系、精准的游戏推广方案,以竞技类网络游戏为特色产品,已发展成为集创意策划、美术设计、技术研发、产品开发、游戏推广、运营维护、海外合作于一体的游戏开发商、运营商。一直以来,公司秉持“铸",2.43,30.35,30.17,24079,-287,-1.18,2026-03-31,55.21,较集中,4.68,2.49,4743720,3965661,1.2,4354691,4321265,1.01,10.75,24.45,18.24,0.69,1.16,12.77,换手4.68%；低于/贴近年内均价；接近年内低点；年内分位13%
36,002991,甘源食品,休闲食品,42.97,1.34,盈利阶段,2025年营业收入20.96亿元，同比增长-7.15%；归母净利润2.08亿元，上年为3.76亿元（同比-44.59%）,2025,20.96亿元,-7.15,2.08亿元,3.76亿元,-44.59,2024,22.57亿元,综合果仁及豆果系列(27.4%)；青豌豆系列(25.3%)；其他系列(19.5%)；瓜子仁系列(13.5%)；蚕豆系列(13.3%),把握中国传统小吃与现代科技,"甘源食品股份有限公司成立于2006年,总部设在江西省萍乡市经济技术开发区,是一家集研发、生产、销售为一体的现代化休闲食品企业,2020年,甘源食品正式登陆A股(股票代码:002991)。公司布局南北两大现代化生产基地,产能辐射全国。南方生产基地位于江西萍乡。北方生产基地位于河南安阳。目前,甘源覆盖坚果炒货、豆果套餐、果脯蜜饯、烘焙膨化等多品类产品组合。经典三",0.93,40.05,21.46,10450,-932,-8.19,2026-03-31,69.66,非常集中,3.2,1.78,937027,961057,0.97,949042,788249,1.2,38.3,64.7,53.63,0.8,1.12,17.69,换手3.20%；低于/贴近年内均价；接近年内低点；年内分位18%
37,603395,红四方,农化制品,23.27,0.3,盈利阶段,2025年营业收入34.31亿元，同比增长-1.57%；归母净利润5123.89万元，上年为9316.68万元（同比-45%）,2025,34.31亿元,-1.57,5123.89万元,9316.68万元,-45,2024,34.85亿元,复合肥(91.8%)；氮肥产品(6.5%)；硫酸钾产品(1.0%)；其他(补充)(0.7%),隶属于中国盐业集团有限公司、为中盐集团、获得中国石油和化学工业联合会科技、神农中华农业科技、秉承中盐集团,"中盐安徽红四方肥业股份有限公司(以下简称公司)隶属于中国盐业集团有限公司,是专业从事复合肥和氮肥产品的研发、生产、销售和服务的化肥生产企业,为中盐集团农肥业务板块的运营主体,入选国务院国资委“双百企业”名单,2024年成功登陆上海证券交易所主板。公司前身合肥化肥厂始建于1958年,是全国最早的小氮肥、小联碱生产企业之一。公司拥有安徽、湖南、湖北、吉林四大生产",2.6,60.5,15.13,26535,264,1,2026-03-31,76.27,较集中,5.25,1.27,2816710,4980989,0.57,3898850,2223464,1.75,19.8,40.55,30.13,0.77,1.18,16.72,10日量能放大1.75倍；换手5.25%；低于/贴近年内均价；接近年内低点；年内分位17%
38,600262,北方股份,专用设备,13.94,0.43,盈利阶段,2025年营业收入30.73亿元，同比增长5.28%；归母净利润2.15亿元，上年为1.79亿元（同比20.44%）,2025,30.73亿元,5.28,2.15亿元,1.79亿元,20.44,2024,29.18亿元,矿用车整车(79.4%)；矿用车备件及服务(20.3%)；其他(补充)(0.3%),内蒙古北方重型汽车股份有限公司、现为中国兵器北重集团,"内蒙古北方重型汽车股份有限公司(以下简称:北方股份)是我国专业从事非公路矿用车及其零部件研发、生产和销售的企业,公司于1988年中外合资成立,现为中国兵器北重集团旗下A股上市公司。北方股份拥有科技园区、工业园区、维修再制造及试验园区三大园区,拥有矿用车领域唯一的国家级工程研究中心,是全球唯一能在同一条生产线生产25-400吨全系列矿用车的企业,致力于为用户提",2.38,33.18,33.18,17148,429,2.57,2026-03-31,44.86,较集中,1.79,0.91,4923655,6227785,0.79,5575720,3349701,1.66,12.49,35.22,24.61,0.57,1.12,6.38,10日量能放大1.66倍；低于/贴近年内均价；接近年内低点；年内分位6%
39,001395,亚联机械,专用设备,27.6,-2.27,盈利阶段,2025年营业收入8.01亿元，同比增长-7.42%；归母净利润1.87亿元，上年为1.55亿元（同比20.93%）,2025,8.01亿元,-7.42,1.87亿元,1.55亿元,20.93,2024,8.65亿元,生产线(87.0%)；其他(补充)(7.4%)；改造项目(3.1%)；钢带(2.5%),,"亚联机械股份有限公司是人造板高端生产装备整体解决方案的供应商和服务商,主营业务为人造板生产线及其配套设备和专用材料的研发、生产、销售和服务。公司核心产品为连续平压生产线,可用于生产纤维板、刨花板、定向刨花板、可饰面复合板等多种类型的人造板材。在此基础上,公司还提供全面的生产线配套设备和高强度不锈钢钢带等专用材料,并根据客户需求提供生产线的技术升级、改造和其他",1.13,31.3,14.35,9917,405,4.26,2026-03-31,63.53,非常集中,7.81,0.94,4522389,7889308,0.57,6205848,3427223,1.81,22.81,60.49,42.32,0.65,1.21,12.71,10日量能放大1.81倍；换手7.81%；低于/贴近年内均价；接近年内低点；年内分位13%
40,605068,明新旭腾,汽车零部件,20.59,9.99,扭亏阶段,2025年营业收入14.83亿元，同比增长25.76%；归母净利润1481.09万元，上年为-1.72亿元（同比108.6%）,2025,14.83亿元,25.76,1481.09万元,-1.72亿元,108.6,2024,11.79亿元,天然皮革(58.3%)；人造革及合成革(36.0%)；其他(补充)(5.6%),,"明新旭腾新材料股份有限公司是一家专注于汽车内饰材料研发、清洁生产和销售的高新技术企业。公司成立于2005年,公司总部位于浙江嘉兴,2020年11月23日于上海证券交易所主板上市,代码605068。随着业务的不断发展,相继建立了明新皮业欧洲创新中心,中国北方阜新工厂,江苏徐州新沂工厂三大研发和生产基地。自设立以前,明新旭腾始终秉承“新材料赋能美好生活”的企业愿",1.62,33.4,33.4,7766,-445,-5.42,2026-03-31,71.81,非常集中,3.62,1.72,3578200,3476920,1.03,3527560,3931410,0.9,12.94,34.87,24.96,0.82,1.59,34.88,换手3.62%；低于/贴近年内均价；年内分位35%
41,603696,安记食品,调味发酵品Ⅱ,12.03,0,盈利阶段,2025年营业收入5.85亿元，同比增长8.8%；归母净利润2749.45万元，上年为3597.51万元（同比-23.57%）,2025,5.85亿元,8.8,2749.45万元,3597.51万元,-23.57,2024,5.38亿元,其他(补充)(64.3%)；复合调味粉(28.0%)；酱类调味品(3.3%)；香辛料(3.3%)；天然提取物调味料(0.8%),,"安记食品股份有限公司是一家主板上市企业(股票代码:603696),作为国内复合调味料的知名企业之一,自1995年成立以来,坚持以“弘扬中华饮食文化,创造人类健康生活新概念”为使命,一直专注于调味品的研发、生产和销售。目前公司已逐步形成以咖喱调料类、肉味复调类“双头部”为主导,复合调味类、香辛调料类、酱汁调料类、其他类目为补充,协调发展的战略体系。2025年1",2.35,28.29,28.29,32702,-12454,-27.58,2026-03-31,64.41,较分散,8.26,3.72,5469754,7293296,0.75,6381525,4188579,1.52,10.05,29.57,14.99,0.8,1.2,10.14,10日量能放大1.52倍；换手8.26%；低于/贴近年内均价；接近年内低点；年内分位10%
42,603536,惠发食品,食品加工,8.62,0.94,亏损阶段,2025年营业收入14.10亿元，同比增长-26.78%；归母净利润-6955.19万元，上年为-1658.59万元（同比-319.34%）,2025,14.10亿元,-26.78,-6955.19万元,-1658.59万元,-319.34,2024,19.25亿元,供应链(26.7%)；丸制品(24.7%)；油炸品(16.7%)；肠制品(9.8%)；中式菜肴(9.8%),,"山东惠发食品股份有限公司成立于2005年2月,2017年6月13日在上海证券交易所挂牌上市,成功登陆A股主板,是一家集预制菜品研发、生产、销售和提供健康食材供应链服务于一体的综合性食品企业。公司拥有五个生产基地,荣获了“国家安全生产标准化一级企业”、“高新技术企业”、“山东省农业产业化重点龙头企业”等多项荣誉称号,先后组建并成立了院士工作站、博士后工作站、山",2.42,20.89,20.73,20961,-2872,-12.05,2026-03-31,60.56,较集中,5.93,2.73,5478392,6900112,0.79,6189252,4048930,1.53,7.66,15.77,10.4,0.83,1.13,11.84,10日量能放大1.53倍；换手5.93%；低于/贴近年内均价；接近年内低点；年内分位12%
43,000526,学大教育,教育,36.33,9.99,盈利阶段,2025年营业收入32.27亿元，同比增长15.84%；归母净利润1.95亿元，上年为1.80亿元（同比8.58%）,2025,32.27亿元,15.84,1.95亿元,1.80亿元,8.58,2024,27.86亿元,教育培训服务费收入(96.7%)；其他(补充)(3.2%)；设备租赁(0.1%),教育科技集团股份有限公司,"学大(厦门)教育科技集团股份有限公司完成了收购学大教育集团暨重大资产重组的相关工作,公司主营业务由设备采购、租赁及物业租赁变更为教育培训服务,秉承“为每个孩子提供最适合的教育""的使命,率先开创了一对一个性化辅导模式,经过多年的持续提供优质服务,在业内树立了广泛的知名度和良好的美誉度,成为了课外辅导行业的领军品牌。同时还开展了游乐设备综合服务业务以及物业租赁业",1.22,44.27,44.13,20107,-261,-1.28,2026-03-31,44.54,较集中,5.09,1.24,5213160,6495981,0.8,5854571,3064142,1.91,23.8,56.9,38.32,0.95,1.53,37.85,10日量能放大1.91倍；换手5.09%；低于/贴近年内均价
44,001231,农心科技,农化制品,18.26,1.28,盈利阶段,2025年营业收入7.70亿元，同比增长18.57%；归母净利润6663.34万元，上年为5992.47万元（同比11.2%）,2025,7.70亿元,18.57,6663.34万元,5992.47万元,11.2,2024,6.49亿元,杀虫剂(47.6%)；杀菌剂(32.8%)；除草剂(10.6%)；其他(9.0%),农心作物科技股份有限公司,"农心作物科技股份有限公司是一家集作物保护产品的研发、生产、销售和技术服务为一体,为农户提供专业作物解决方案的农药企业。",1,18.2,9.31,11905,-131,-1.09,2026-03-31,71.08,非常集中,3.36,1.34,1329177,1588050,0.84,1458613,1242555,1.17,16.19,30.17,22.44,0.81,1.13,14.81,换手3.36%；低于/贴近年内均价；接近年内低点；年内分位15%
45,603151,邦基科技,饲料,11.96,0.25,盈利阶段,2025年营业收入56.99亿元，同比增长124.24%；归母净利润1.11亿元，上年为5012.98万元（同比121.12%）,2025,56.99亿元,124.24,1.11亿元,5012.98万元,121.12,2024,25.42亿元,猪配合料(85.1%)；猪浓缩料(4.7%)；猪预混料(3.5%)；其他饲料(2.9%)；生猪(2.3%),提高用户养猪水平,"山东邦基科技股份有限公司成立于2007年4月,并于2022年10月19日成功登陆A股,正式在上交所主板成功上市,股票简称:“邦基科技”,股票代码:“603151”。公司是一家致力于动物生命、生物技术与动物营养研究的国家农业产业化重点龙头企业。是国家高新技术企业。公司先后被评为山东饲料行业科技引领集团二十强、生猪饲料企业十强、蛋禽饲料企业十强,并授予中国饲料工",1.71,20.49,20.49,11267,534,4.98,2026-03-31,70.66,非常集中,1.74,0.64,4869100,10425089,0.47,7647095,4418570,1.73,10.63,31.36,19.09,0.63,1.13,6.42,10日量能放大1.73倍；低于/贴近年内均价；接近年内低点；年内分位6%
46,001288,运机集团,专用设备,25.07,-2.03,盈利阶段,2025年营业收入17.86亿元，同比增长16.29%；归母净利润1.96亿元，上年为1.57亿元（同比24.42%）,2025,17.86亿元,16.29,1.96亿元,1.57亿元,24.42,2024,15.36亿元,输送机整机(75.4%)；永磁电机滚筒等(10.8%)；技术服务及备件(9.1%)；其他(4.8%),四川省自贡运输机械集团股份有限公司、系收购四川省自贡运输机械总厂而新组建的股份、制企业集团,"四川省自贡运输机械集团股份有限公司创建于2003年9月,系收购四川省自贡运输机械总厂而新组建的股份制企业集团,是中国散料输送机械设计、制造和安装领军企业之一,国家火炬计划重点高新技术企业,中国西部地区输送机械设计、制造商。公司于2021年11月1日在深交所主板正式挂牌上市(股票代码001288)。公司主要从事通用带式输送机、管状带式输送机、曲线带式输送机、斗",2.34,58.6,38.07,9590,-243,-2.47,2026-03-31,71.16,非常集中,1.97,0.8,3938780,6235212,0.63,5086996,3076973,1.65,19.7,40.99,28.16,0.89,1.27,25.22,10日量能放大1.65倍；低于/贴近年内均价；年内分位25%
47,002829,星网宇达,航天装备Ⅱ,18.53,-9.34,减亏阶段,2025年营业收入3.78亿元，同比增长-10.64%；归母净利润-1.09亿元，上年为-2.28亿元（同比52.09%）,2025,3.78亿元,-10.64,-1.09亿元,-2.28亿元,52.09,2024,4.23亿元,无人系统(54.3%)；信息感知(31.5%)；卫星通信(12.3%)；其他(1.8%),卫星导航定位科技进步奖等科技、先后主持并承担了若干项重要科技、始终秉持科技,"北京星网宇达科技股份有限公司成立于2005年,2016年在深交所上市,股票代码002829,是以惯性技术为核心,专业从事智能无人系统及核心部组件研发、生产、销售的国家高新技术企业。公司是工信部专精特新“小巨人”企业,建设有北京市企业技术中心、惯性/北斗多传感器融合导航与测控技术北京市工程实验室。公司共获得国家科学技术进步奖、北京市科学技术奖、吴文俊人工智能科",2.08,38.51,27.06,38382,-393,-1.01,2026-03-31,41.1,较分散,12.7,1.01,19223498,27422355,0.7,23322927,11861652,1.97,16,35.69,24.3,0.76,1.16,12.85,10日量能放大1.97倍；换手12.70%；低于/贴近年内均价；接近年内低点；年内分位13%
48,603202,天有为,汽车零部件,54.54,3.02,盈利阶段,2025年营业收入39.98亿元，同比增长-10.46%；归母净利润9.22亿元，上年为11.36亿元（同比-18.88%）,2025,39.98亿元,-10.46,9.22亿元,11.36亿元,-18.88,2024,44.65亿元,全液晶组合仪表(45.5%)；双联屏仪表(28.5%)；其他汽车电子产品及服务(19.3%)；电子式组合仪表(6.3%)；其他(补充)(0.4%),,"黑龙江天有为电子股份有限公司成立于2003年,总部位于黑龙江省绥化市,并在广西柳州、湖北武汉、墨西哥等地设有子公司,在哈尔滨、大连、韩国设有分公司。公司主要从事汽车仪表的研发设计、生产、销售和服务,并逐步向智能座舱领域拓展。公司主要产品包括电子式组合仪表、全液晶组合仪表、双联屏仪表、车载信息娱乐系统、车载空调控制器、车载无线充电器、汽车电子开发服务等。自设立",1.6,87.26,27.39,18952,-2031,-9.68,2026-03-31,74.74,较集中,4.54,2.18,1094468,1570173,0.7,1332320,1172737,1.14,48.11,108.6,87.23,0.63,1.13,10.63,换手4.54%；低于/贴近年内均价；接近年内低点；年内分位11%
49,603161,科华控股,汽车零部件,13.87,-6.54,盈利阶段,2025年营业收入22.40亿元，同比增长-5.59%；归母净利润9750.42万元，上年为1.05亿元（同比-7.21%）,2025,22.40亿元,-5.59,9750.42万元,1.05亿元,-7.21,2024,23.72亿元,涡轮壳及装配件(58.7%)；中间壳及装配件(30.4%)；其他机械零部件(10.5%)；其他(补充)(0.5%),盖瑞特、博格华纳、上海菱重、纬湃汽车、博马科技、丰沃、宁波天力、蜂巢,"科华控股股份有限公司创建于2002年,专业生产汽车涡轮增压器零部件、工程机械配件、液压泵阀以及新能源汽车零部件,目前已成为全球知名的汽车涡轮增压器零部件细分行业头部企业。2018年1月5日,公司在上海证券交易所主板上市,股票代码603161。凭借多年来积累的技术和管理经验,公司现已与世界500强的关键客户如盖瑞特、博格华纳、三菱重工、GKN、长城汽车等建立了",1.94,26.96,26.46,12933,-836,-6.07,2026-03-31,49.18,非常集中,3.35,1.25,5318613,7186119,0.74,6252366,3289480,1.9,12.02,17.12,14.1,0.98,1.15,36.27,10日量能放大1.90倍；换手3.35%；低于/贴近年内均价；接近年内低点
50,603352,至信股份,汽车零部件,27.06,10,盈利阶段,2025年营业收入40.53亿元，同比增长31.25%；归母净利润2.27亿元，上年为2.04亿元（同比11.52%）,2025,40.53亿元,31.25,2.27亿元,2.04亿元,11.52,2024,30.88亿元,冲焊零部件(89.9%)；其他(补充)(4.9%)；冲压模具(4.7%)；机器人工作站及集成(0.5%),长安汽车、吉利汽车、比亚迪、蔚来汽车等主流品牌、并为宁德时代、英纳法、伟巴斯特等汽车零部件企业提供配套服务,"重庆至信实业股份有限公司成立于1995年,于2026年上海证券交易所主板上市。公司专注于汽车冲焊件及相关模具开发、加工、生产和销售,总部位于重庆,在全国建有10余家制造基地。依托三十余年行业积累,公司围绕冲焊件研发与制造,构建了涵盖模具开发、自动化集成及冲焊件生产的完整产业链布局,可为整车及零部件企业提供整体解决方案。公司主要产品为汽车白车身冲焊件及配套工装",2.27,61.34,12.27,36368,-43329,-54.37,2026-03-31,77.19,较分散,9.63,4.52,1013362,1468510,0.69,1240936,1050306,1.18,23.5,80,35.84,0.76,1.15,6.3,换手9.63%；低于/贴近年内均价；接近年内低点；年内分位6%
51,603205,健尔康,医疗器械,20.34,-1.45,盈利阶段,2025年营业收入10.24亿元，同比增长-2.04%；归母净利润1.11亿元，上年为1.20亿元（同比-7.31%）,2025,10.24亿元,-2.04,1.11亿元,1.20亿元,-7.31,2024,10.46亿元,护理类(33.6%)；手术耗材类(31.3%)；高分子及辅助类(17.7%)；消毒清洁类(16.4%)；其他(0.8%),日完成股份、江苏省民营科技,"健尔康医疗科技股份有限公司(以下简称:健尔康医疗)创建于1999年,2020年10月30日完成股份制改革。公司生产环境符合国际相关标准。依托行业内规模前列的生产布局,结合自动化生产配置与信息化管理体系,公司连续多年位居医用敷料出口排名第四位,公司于2024年11月7日上海证券交易所主板发行上市,是国内医用敷料领域的专业制造商与出口商。公司专注一次性医用敷料、",1.56,31.73,8.41,14887,-1679,-10.14,2026-03-31,75.67,较集中,1.95,1.14,739772,1670744,0.44,1205258,712426,1.69,19.57,32.15,26.95,0.75,1.04,6.12,10日量能放大1.69倍；低于/贴近年内均价；接近年内低点；年内分位6%
